Дата,Новость,Кавередж,Сессии,CTR,% удовлетворения,Ответивших,CTR опроса,Локаль,Тема,Номер,,,
"Feb 14, 2020",Aktualisieren Sie den Internet Explorer auf Ihrem PC, 5 157, 2 877,55.79%,,,,DE,security update,0053,,,
"Feb 14, 2020",Aktualizujte aplikaci Internet Explorer na svém PC,  55,  48,87.27%,,,,CZ,security update,0054,,,
"Feb 14, 2020",Atualize o Internet Explorer no seu computador, 38 931, 9 487,24.37%,,,,PT,security update,0055,,,
"Feb 14, 2020",Mettez à jour Internet Explorer sur votre PC, 6 223, 2 411,38.74%,,,,FR,security update,0056,,,
"Feb 14, 2020",PC’nizde Internet Explorer’ı güncelleyin, 4 795,  950,19.81%,,,,TR,security update,0057,,,
"Feb 14, 2020",Update Internet Explorer on your PC,  89,  48,53.93%,,,,FI,security update,0058,,,
"Feb 14, 2020",Update Internet Explorer on your PC,  71,  38,53.52%,,,,NO,security update,0059,,,
"Feb 14, 2020",Update Internet Explorer on your PC,  237,  118,49.79%,,,,DK,security update,0060,,,
"Feb 14, 2020",Update Internet Explorer on your PC,  451,  221,49.00%,,,,SE,security update,0061,,,
"Feb 14, 2020",Обновите Internet Explorer на своем ПК, 3 819, 1 449,37.94%,,,,RU,security update,0062,,,
"Feb 19, 2020",Protect your TikTok account, 3 447, 1 693,49.12%,91%,  54,3.19%,EN,advice,0063,,,
"Mar 2, 2020",Alerta de phishing para los clientes de Endesa,  434,  196,45.16%,,,,ES,phishing,0064,,,
"Mar 4, 2020",El phishing ataca a los clientes del Banco Santander, 2 084,  837,40.16%,,,,ES,phishing,0065,,,
"Mar 6, 2020",Data breach affects T-Mobile users,  226,  95,42.04%,,,,EN,data breach,0066,,,
"Mar 6, 2020",Data breach affects Virgin Media customers, 1 861,  864,46.43%,,,,EN,data breach,0067,,,
"Mar 12, 2020",This coronavirus-themed phishing campaign targets taxpayers , 9 183, 2 467,26.86%,98%,  116,4.70%,EN,phishing,0068,,,
"Mar 13, 2020",Install this emergency update for Windows 10, 183 034, 65 367,35.71%,96%,  353,0.54%,EN,security update,0069,,,
"Mar 16, 2020",Instala esta actualización de emergencia para Windows 10 , 93 175,"22,383",24.02%,,,,ES,security update,0070,,,
"Mar 16, 2020",Install this emergency update for Windows 10, 1 221,  592,48.48%,,,,DK,security update,0071,,,
"Mar 16, 2020",Install this emergency update for Windows 10,  792,  375,47.35%,,,,FI,security update,0072,,,
"Mar 16, 2020",Install this emergency update for Windows 10,  478,  187,39.12%,,,,NO,security update,0073,,,
"Mar 16, 2020",Install this emergency update for Windows 10, 2 775, 1 053,37.95%,,,,SE,security update,0074,,,
"Mar 16, 2020",Installa questo aggiornamento di emergenza per Windows 10, 27 769, 12 326,44.39%,,,,IT,security update,0075,,,
"Mar 16, 2020",Installez cette mise à jour d’urgence pour Windows 10, 28 227, 12 776,45.26%,,,,FR,security update,0076,,,
"Mar 16, 2020",Nainstalujte tuto nouzovou aktualizaci pro Windows 10,  273,  171,62.64%,,,,CZ,security update,0077,,,
"Mar 16, 2020",Notfallupdate für Windows 10, 20 334, 9 754,47.97%,,,,DE,security update,0078,,,
"Mar 16, 2020",Установите последнее обновление Windows 10 как можно скорее, 7 212, 3 026,41.96%,,,,RU,security update,0079,,,
"Mar 17, 2020",Bu acil Windows 10 güncellemesini yükleyin, 14 514, 4 887,33.67%,,,,TR,security update,0080,,,
"Mar 17, 2020",Instale esta atualização de emergência do Windows 10, 125 721, 39 704,31.58%,,,,PT,security update,0081,,,
"Mar 24, 2020",Weibo users affected by a data breach, 1 112,  661,59.44%,,,,EN,data breach,0082,,,
"Mar 31, 2020",Update your Apple device to iOS/iPadOS 13.4, 52 463, 12 695,24.20%,94%, 1 171,9.22%,EN,security update,0083,,,
"Apr 1, 2020",Actualiza tu dispositivo Apple a iOS o iPadOS 13.4, 9 542, 2 573,26.96%,,,,ES,security update,0084,,,
